City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
137,Ahuimanu,US,76.75,broken clouds,21.4447,-157.8378,Paradise Bay Resort
143,Saint-Pierre,RE,76.91,few clouds,-21.3393,55.4781,Alize Plage
150,Russell,US,73.0,broken clouds,32.3502,-85.1999,Macs
153,Champerico,GT,76.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
155,Los Llanos De Aridane,ES,70.12,broken clouds,28.6585,-17.9182,Valle Aridane
156,San Ignacio,BZ,71.74,clear sky,17.1561,-89.0714,Rainforest Haven Inn
160,Porbandar,IN,88.34,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
161,Madang,PG,78.62,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
162,Cabras,IT,82.98,clear sky,39.93,8.5314,Hotel Villa Canu
164,Quatre Cocos,MU,71.71,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
169,Kalabo,ZM,77.81,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
175,Tual,ID,82.71,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
180,East London,ZA,81.32,scattered clouds,-33.0153,27.9116,Tu Casa
183,Isangel,VU,76.78,overcast clouds,-19.55,169.2667,Tanna Lodge
186,Jining,CN,83.57,overcast clouds,35.405,116.5814,Yunhe Star Hotel
187,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
188,Port-Gentil,GA,84.16,broken clouds,-0.7193,8.7815,Fengshui Residence
189,Kavaratti,IN,81.72,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
190,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
191,Sorong,ID,81.32,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
193,Tekirdag,TR,70.95,overcast clouds,40.978,27.5085,Tekirdağ Yat Hotel
195,Karpathos,GR,78.76,scattered clouds,35.507,27.2132,Alex
196,Tomatlan,MX,76.35,scattered clouds,19.9333,-105.25,El Salvial
