City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Mount Isa,AU,-20.7333,139.5,58.77,38,0,8.05,clear sky
166,Linxia,CN,35.6003,103.2064,67.73,36,72,14.58,broken clouds
167,Fortuna,US,40.5982,-124.1573,60.93,92,100,3.0,overcast clouds
168,Saskylakh,RU,71.9167,114.0833,71.01,26,63,7.16,broken clouds
169,Kalabo,ZM,-14.97,22.6814,77.81,28,0,5.64,clear sky
170,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,62,75,6.71,broken clouds
171,Arcata,US,40.8665,-124.0828,64.67,78,100,5.01,fog
172,Portland,US,45.5234,-122.6762,55.06,90,100,4.61,overcast clouds
173,Selfoss,IS,63.9331,-20.9971,53.64,63,32,2.93,scattered clouds
174,Lavrentiya,RU,65.5833,-171.0,35.15,71,100,10.65,overcast clouds
175,Tual,ID,-5.6667,132.75,82.71,77,89,12.73,overcast clouds
176,Te Anau,NZ,-45.4167,167.7167,35.33,98,85,4.09,light snow
177,Singarayakonda,IN,15.25,80.0333,100.42,34,94,8.68,overcast clouds
178,Araouane,ML,18.9048,-3.5265,103.84,15,50,15.32,scattered clouds
179,Guerrero Negro,MX,27.9769,-114.0611,63.0,91,30,8.08,scattered clouds
180,East London,ZA,-33.0153,27.9116,81.32,24,28,12.17,scattered clouds
181,Khor,RU,47.8861,134.9464,60.15,76,0,4.61,clear sky
182,Tiksi,RU,71.6872,128.8694,39.97,75,76,11.36,broken clouds
183,Isangel,VU,-19.55,169.2667,76.78,87,87,1.97,overcast clouds
184,Tasiilaq,GL,65.6145,-37.6368,39.36,95,100,9.24,light rain
185,Egvekinot,RU,66.3167,-179.1667,38.95,49,64,4.43,broken clouds
186,Jining,CN,35.405,116.5814,83.57,36,97,7.07,overcast clouds
187,Alofi,NU,-19.0595,-169.9187,75.09,94,77,6.91,broken clouds
188,Port-Gentil,GA,-0.7193,8.7815,84.16,74,75,9.22,broken clouds
189,Kavaratti,IN,10.5669,72.642,81.72,81,100,18.66,overcast clouds
190,Vila Velha,BR,-20.3297,-40.2925,71.55,86,75,2.3,broken clouds
191,Sorong,ID,-0.8833,131.25,81.32,79,50,8.86,scattered clouds
192,Jamame,SO,0.0722,42.7506,84.09,63,53,16.13,light rain
193,Tekirdag,TR,40.978,27.5085,70.95,91,100,17.54,overcast clouds
194,Zhuanghe,CN,39.7008,122.9911,65.89,84,100,4.52,overcast clouds
195,Karpathos,GR,35.507,27.2132,78.76,65,40,26.46,scattered clouds
196,Tomatlan,MX,19.9333,-105.25,76.35,85,34,2.28,scattered clouds
197,Longyearbyen,SJ,78.2186,15.6401,39.04,81,75,4.61,broken clouds
198,Rocha,UY,-34.4833,-54.3333,45.0,87,15,8.59,few clouds
199,Yaan,NG,7.3833,8.5667,85.41,60,53,4.56,broken clouds
200,Boyolangu,ID,-8.1181,111.8935,77.81,88,83,3.58,broken clouds
201,Airai,TL,-8.9266,125.4092,58.01,91,95,2.93,overcast clouds
202,Tecoanapa,MX,16.5167,-98.75,76.89,87,97,5.41,overcast clouds
203,Ahipara,NZ,-35.1667,173.1667,59.56,86,8,23.91,clear sky
204,Dire,ML,12.2833,-10.9667,95.11,39,26,4.23,scattered clouds
205,Arlit,NE,18.7369,7.3853,103.8,15,7,7.72,clear sky
206,Ko Samui,TH,9.5357,99.9357,87.71,70,20,6.91,few clouds
