City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
441,Urumqi,0,CN,2022-06-11 14:41:21,16,43.801,87.6005,88.75,4.47
442,Kismayo,17,SO,2022-06-11 14:41:21,78,-0.3582,42.5454,79.84,17.47
443,Yurovka,40,RU,2022-06-11 14:41:22,61,45.1147,37.4188,80.1,8.95
444,Kanker,94,IN,2022-06-11 14:41:22,59,20.2719,81.4931,84.13,6.17
445,Westlock,77,CA,2022-06-11 14:41:22,62,54.1502,-113.8688,61.11,1.97
446,Aguas Formosas,75,BR,2022-06-11 14:41:23,36,-17.0822,-40.9358,84.22,5.48
447,Nokaneng,0,BW,2022-06-11 14:41:23,24,-19.6667,22.2667,75.69,8.55
448,Varnavino,3,RU,2022-06-11 14:41:23,51,57.4035,45.0916,64.11,7.36
449,Saraland,100,US,2022-06-11 14:41:23,73,30.8207,-88.0706,83.3,4.03
450,Berlevag,75,NO,2022-06-11 14:41:24,76,70.8578,29.0864,58.8,21.85
451,Vila Franca Do Campo,99,PT,2022-06-11 14:41:24,82,37.7167,-25.4333,70.21,5.99
452,Ailigandi,100,PA,2022-06-11 14:41:24,81,9.2333,-78.0167,81.0,3.33
453,Karaman,36,TR,2022-06-11 14:41:25,26,37.0833,33.25,80.2,24.99
454,Zagare,66,LT,2022-06-11 14:41:25,65,56.3592,23.25,69.44,8.95
455,Alexandria,0,EG,2022-06-11 14:40:46,45,31.2156,29.9553,84.74,12.66
456,Honningsvag,100,NO,2022-06-11 14:42:26,81,70.9821,25.9704,46.15,8.05
457,Corner Brook,58,CA,2022-06-11 14:40:36,64,48.9667,-57.9484,66.36,16.75
458,Port Blair,40,IN,2022-06-11 14:42:27,83,11.6667,92.75,82.44,5.75
459,Shingu,100,JP,2022-06-11 14:39:16,95,33.7333,135.9833,64.58,11.97
460,Kresttsy,69,RU,2022-06-11 14:42:28,64,58.2452,32.5165,66.9,6.44
461,Ilhabela,100,BR,2022-06-11 14:42:29,87,-23.7781,-45.3581,65.01,6.06
462,Padang,100,ID,2022-06-11 14:42:29,96,-0.9492,100.3543,73.45,8.14
463,Coihaique,100,CL,2022-06-11 14:41:51,93,-45.5752,-72.0662,29.01,0.0
464,Pangoa,95,PE,2022-06-11 14:42:30,74,-12.1167,-73.0,66.4,2.39
465,Mokhsogollokh,75,RU,2022-06-11 14:42:30,82,61.4681,128.9203,52.81,1.66
466,Chulym,100,RU,2022-06-11 14:42:30,88,55.0997,80.9572,63.01,16.24
467,Wangqing,2,CN,2022-06-11 14:42:31,94,43.3218,129.7634,52.52,2.21
468,Lagoa,100,PT,2022-06-11 14:42:31,88,39.05,-27.9833,59.9,14.03
469,Henties Bay,0,NA,2022-06-11 14:42:31,53,-22.116,14.2845,70.23,8.61
470,Flinders,0,AU,2022-06-11 14:42:32,61,-34.5833,150.8552,53.38,13.0
471,Bouca,75,CF,2022-06-11 14:42:32,40,6.5105,18.2733,90.14,3.15
472,Oranjemund,99,NA,2022-06-11 14:42:32,41,-28.55,16.4333,69.37,12.41
473,Okhotsk,51,RU,2022-06-11 14:42:33,96,59.3833,143.3,39.27,1.57
474,Chokurdakh,11,RU,2022-06-11 14:42:33,55,70.6333,147.9167,48.42,10.65
475,Macusani,0,PE,2022-06-11 14:42:33,30,-14.0833,-70.4333,43.09,4.43
476,Nabire,20,ID,2022-06-11 14:42:34,91,-3.3667,135.4833,75.88,3.02
477,Ilek,85,RU,2022-06-11 14:42:34,66,51.5271,53.3831,71.69,7.23
478,Portland,100,US,2022-06-11 14:41:00,93,45.5234,-122.6762,61.45,1.01
479,Pringsewu,100,ID,2022-06-11 14:42:34,97,-5.3582,104.9744,74.03,3.06
